onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.03	Baseline
35.98	11.5	Q3_p
35.98	11.5	Q3_db
48.0	11.5	Q2_p
48.0	11.5	Q3_db
59.96	11.51	Q4_p
59.96	11.51	Q3_db
71.95	12.0	Baseline
83.95	12.0	Noise
95.95	12.03	Baseline
107.98	11.51	Q2_p
107.98	11.51	Q2_db
119.98	11.51	Q2_p
119.98	11.51	Q2_db
131.97	11.51	Q1_p
131.97	11.51	Q2_db
143.96	11.99	Baseline
155.95	12.0	Noise
167.95	12.02	Baseline
179.97	11.5	Q1_p
179.97	11.5	Q4_db
191.97	11.52	Q4_p
191.97	11.52	Q4_db
203.97	11.51	Q3_p
203.97	11.51	Q4_db
215.96	11.99	Baseline
227.95	12.01	Noise
239.96	12.03	Baseline
251.99	11.5	Q3_p
251.99	11.5	Q1_db
263.97	11.51	Q2_p
263.97	11.51	Q1_db
275.97	11.51	Q1_p
275.97	11.51	Q1_db
287.99	12.0	Baseline
299.99	12.01	Noise
312.0	12.03	Baseline
324.02	11.51	Q4_p
324.02	11.51	Q3_db
336.02	11.5	Q3_p
336.02	11.5	Q3_db
348.01	11.5	Q3_p
348.01	11.5	Q3_db
360.01	11.99	Baseline
371.99	11.98	Noise
383.98	12.03	Baseline
396.01	11.51	Q1_p
396.01	11.51	Q2_db
407.99	11.5	Q2_p
407.99	11.5	Q2_db
420.01	11.51	Q2_p
420.01	11.51	Q2_db
432.0	11.98	Baseline
443.98	12.02	Noise
456.0	12.02	Baseline
468.01	11.51	Q1_p
468.01	11.51	Q4_db
480.0	11.5	Q3_p
480.0	11.5	Q4_db
492.0	11.5	Q4_p
492.0	11.5	Q4_db
504.0	11.98	Baseline
515.98	12.01	Noise
527.99	12.03	Baseline
540.02	11.5	Q1_p
540.02	11.5	Q1_db
552.0	11.5	Q1_p
552.0	11.5	Q1_db
564.0	11.5	Q1_p
564.0	11.5	Q1_db
