onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.05	Baseline
36.0	11.51	Q1_p
36.0	11.51	Q1_db
47.96	11.5	Q1_p
47.96	11.5	Q1_db
59.96	11.51	Q1_p
59.96	11.51	Q1_db
71.96	11.99	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	11.51	Q2_p
108.0	11.51	Q2_db
119.98	11.5	Q2_p
119.98	11.5	Q2_db
131.98	11.51	Q2_p
131.98	11.51	Q2_db
143.97	11.98	Baseline
155.95	12.01	Noise
167.96	12.04	Baseline
180.0	11.51	Q4_p
180.0	11.51	Q3_db
191.99	11.5	Q1_p
191.99	11.5	Q3_db
203.99	11.51	Q4_p
203.99	11.51	Q3_db
215.97	11.99	Baseline
227.95	12.0	Noise
239.96	12.05	Baseline
252.0	11.5	Q4_p
252.0	11.5	Q4_db
263.99	11.5	Q4_p
263.99	11.5	Q4_db
275.99	11.51	Q1_p
275.99	11.51	Q4_db
288.0	11.99	Baseline
299.99	12.01	Noise
312.0	12.04	Baseline
324.04	11.52	Q2_p
324.04	11.52	Q2_db
336.02	11.51	Q2_p
336.02	11.51	Q2_db
348.02	11.5	Q2_p
348.02	11.5	Q2_db
360.01	11.98	Baseline
371.99	12.0	Noise
384.0	12.06	Baseline
396.06	11.51	Q3_p
396.06	11.51	Q3_db
408.03	11.51	Q1_p
408.03	11.51	Q3_db
420.03	11.51	Q3_p
420.03	11.51	Q3_db
432.02	11.98	Baseline
443.99	12.01	Noise
456.01	12.04	Baseline
468.05	11.5	Q4_p
468.05	11.5	Q4_db
480.03	11.51	Q4_p
480.03	11.51	Q4_db
492.03	11.51	Q4_p
492.03	11.51	Q4_db
504.03	11.97	Baseline
516.0	12.01	Noise
528.01	12.04	Baseline
540.05	11.51	Q1_p
540.05	11.51	Q1_db
552.03	11.5	Q1_p
552.03	11.5	Q1_db
564.03	11.5	Q4_p
564.03	11.5	Q1_db
