onset	duration	trial_type
0.0	11.96	Baseline
11.96	11.99	Noise
23.94	12.03	Baseline
35.98	11.51	Q3_p
35.98	11.51	Q2_db
47.98	11.51	Q2_p
47.98	11.51	Q2_db
59.98	11.51	Q1_p
59.98	11.51	Q2_db
71.95	11.99	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	11.51	Q1_p
108.0	11.51	Q1_db
119.97	11.5	Q1_p
119.97	11.5	Q1_db
131.97	11.51	Q1_p
131.97	11.51	Q1_db
143.96	11.99	Baseline
155.95	12.01	Noise
167.96	12.04	Baseline
180.0	11.51	Q3_p
180.0	11.51	Q4_db
191.98	11.5	Q3_p
191.98	11.5	Q4_db
203.99	11.5	Q4_p
203.99	11.5	Q4_db
215.96	11.99	Baseline
227.95	12.0	Noise
239.96	12.05	Baseline
252.0	11.51	Q3_p
252.0	11.51	Q3_db
263.99	11.53	Q4_p
263.99	11.53	Q3_db
275.99	11.51	Q1_p
275.99	11.51	Q3_db
288.0	11.99	Baseline
299.99	12.0	Noise
311.99	12.02	Baseline
324.01	11.51	Q1_p
324.01	11.51	Q1_db
336.01	11.51	Q1_p
336.01	11.51	Q1_db
348.01	11.51	Q1_p
348.01	11.51	Q1_db
360.01	11.98	Baseline
371.99	12.0	Noise
384.0	12.05	Baseline
396.04	11.5	Q4_p
396.04	11.5	Q4_db
408.03	11.51	Q1_p
408.03	11.51	Q4_db
420.03	11.51	Q1_p
420.03	11.51	Q4_db
432.02	11.98	Baseline
443.99	12.0	Noise
456.0	12.05	Baseline
468.04	11.5	Q3_p
468.04	11.5	Q3_db
480.03	11.5	Q1_p
480.03	11.5	Q3_db
492.03	11.51	Q4_p
492.03	11.51	Q3_db
504.02	11.97	Baseline
516.0	12.0	Noise
528.0	12.03	Baseline
540.03	11.51	Q2_p
540.03	11.51	Q2_db
552.1	11.52	Q2_p
552.1	11.52	Q2_db
564.03	11.52	Q3_p
564.03	11.52	Q2_db
