musics,n,order
music\Q1\MT0013621344.wav,1.0,1.0
music\Q1\MT0002366291.wav,1.0,2.0
music\Q1\MT0002391847.wav,1.0,0.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q2\MT0012658636.wav,1.0,1.0
music\Q2\MT0003136077.wav,1.0,2.0
music\Q2\MT0003209662.wav,1.0,0.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q3\MT0011667212.wav,1.0,0.0
music\Q3\MT0001934726.wav,1.0,2.0
music\Q3\MT0001967374.wav,1.0,1.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q4\MT0014584319.wav,1.0,0.0
music\Q4\MT0001676671.wav,1.0,1.0
music\Q4\MT0001768550.wav,1.0,2.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q2\MT0028750297.wav,1.0,1.0
music\Q2\MT0012001409.wav,1.0,2.0
music\Q2\MT0006903607.wav,1.0,0.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q3\MT0026905937.wav,1.0,0.0
music\Q3\MT0011391187.wav,1.0,2.0
music\Q3\MT0005963165.wav,1.0,1.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q4\MT0030494794.wav,1.0,1.0
music\Q4\MT0013955066.wav,1.0,2.0
music\Q4\MT0007232134.wav,1.0,0.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
﻿musics,n,order
music\Q1\MT0029065626.wav,1.0,0.0
music\Q1\MT0013101577.wav,1.0,1.0
music\Q1\MT0007439502.wav,1.0,2.0

extraInfo
participant,09
session,1
trigger,True
date,2023-02-24_16h29.15.362
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.90179699393057
