musics,n,order
music\Q1\MT0009378909.wav,1.0,0.0
music\Q1\MT0003390733.wav,1.0,2.0
music\Q1\MT0007147603.wav,1.0,1.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q2\MT0008361425.wav,1.0,2.0
music\Q2\MT0004068560.wav,1.0,1.0
music\Q2\MT0006862088.wav,1.0,0.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q3\MT0007477802.wav,1.0,2.0
music\Q3\MT0002915967.wav,1.0,1.0
music\Q3\MT0005520274.wav,1.0,0.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q4\MT0010665248.wav,1.0,2.0
music\Q4\MT0003280103.wav,1.0,1.0
music\Q4\MT0007207968.wav,1.0,0.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q4\MT0001624303.wav,1.0,0.0
music\Q4\MT0004089549.wav,1.0,1.0
music\Q4\MT0007107079.wav,1.0,2.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q2\MT0002960683.wav,1.0,1.0
music\Q2\MT0004558461.wav,1.0,2.0
music\Q2\MT0006798861.wav,1.0,0.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q3\MT0001871732.wav,1.0,2.0
music\Q3\MT0003129858.wav,1.0,0.0
music\Q3\MT0005253065.wav,1.0,1.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
﻿musics,n,order
music\Q1\MT0002262181.wav,1.0,2.0
music\Q1\MT0003794106.wav,1.0,0.0
music\Q1\MT0007013069.wav,1.0,1.0

extraInfo
participant,09
session,3
trigger,True
date,2023-02-24_16h56.20.371
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.88411226627302
